Year,Populationatstart,Births,Deaths,Naturalchange,Netmigration,Totalchange,Populationatend
2004Est,30153.077,402.854,274.728,128.126,92.71,220.836,30373.913
2005Est,30153.077,402.854,274.728,128.126,92.71,220.836,30373.913
2006Est,30153.077,402.854,274.728,128.126,92.71,220.836,30373.913
2007Est,30153.077,402.854,274.728,128.126,92.71,220.836,30373.913
2008,30153.077,402.854,274.728,128.126,92.71,220.836,30373.913
2009,30373.913,399.413,265.798,133.615,101.238,234.853,30608.766
2010,30608.766,398.406,264.194,134.212,98.618,232.83,30841.596
2011,30841.596,398.055,263.079,134.976,95.998,230.974,31072.57
2012,31072.57,398.532,262.44,136.092,93.378,229.47,31302.04
2013,31302.04,399.638,262.279,137.359,90.76,228.119,31530.159
2014,31530.159,401.754,262.568,139.186,87.628,226.814,31756.973
2015,31756.973,404.607,263.264,141.343,87.628,228.971,31985.944
2016,31985.944,407.145,264.351,142.794,87.628,230.422,32216.366
2017,32216.366,409.169,265.816,143.353,87.628,230.981,32447.347
2018,32447.347,410.608,267.682,142.926,87.628,230.554,32677.901
2019,32677.901,411.444,269.933,141.511,87.628,229.139,32907.04
2020,32907.04,411.736,272.512,139.224,87.628,226.852,33133.892
2021,33133.892,411.574,275.451,136.123,87.628,223.751,33357.643
2022,33357.643,411.077,278.731,132.346,87.628,219.974,33577.617
2023,33577.617,410.362,282.342,128.02,87.628,215.648,33793.265
2024,33793.265,409.526,286.226,123.3,87.628,210.928,34004.193
2025,34004.193,408.672,290.38,118.292,87.628,205.92,34210.113
2026,34210.113,407.832,294.712,113.12,87.628,200.748,34410.861
2027,34410.861,407.063,299.223,107.84,87.628,195.468,34606.329
2028,34606.329,406.424,303.901,102.523,87.628,190.151,34796.48
2029,34796.48,406.008,308.58,97.428,87.628,185.056,34981.536
2030,34981.536,405.901,313.282,92.619,87.628,180.247,35161.783
2031,35161.783,406.187,317.991,88.196,87.628,175.824,35337.607
2032,35337.607,406.943,322.641,84.302,87.628,171.93,35509.537
2033,35509.537,410.1,331.44,78.66,87.628,166.288,36008.402
2034,35509.537,410.1,331.44,78.66,87.628,166.288,36008.402
2035,35509.537,410.1,331.44,78.66,87.628,166.288,36008.402
2036,35509.537,410.1,331.44,78.66,87.628,166.288,36008.402
2037,36008.402,419.822,347.054,72.768,87.628,160.396,36810.381
2038,36008.402,419.822,347.054,72.768,87.628,160.396,36810.381
2039,36008.402,419.822,347.054,72.768,87.628,160.396,36810.381
2040,36008.402,419.822,347.054,72.768,87.628,160.396,36810.381
2041,36008.402,419.822,347.054,72.768,87.628,160.396,36810.381
2042,36810.381,430.57,362.436,68.134,87.628,155.762,37589.191
2043,36810.381,430.57,362.436,68.134,87.628,155.762,37589.191
2044,36810.381,430.57,362.436,68.134,87.628,155.762,37589.191
2045,36810.381,430.57,362.436,68.134,87.628,155.762,37589.191
2046,36810.381,430.57,362.436,68.134,87.628,155.762,37589.191
2047,37589.191,435.933,373.295,62.637,87.628,150.265,38340.517
2048,37589.191,435.933,373.295,62.637,87.628,150.265,38340.517
2049,37589.191,435.933,373.295,62.637,87.628,150.265,38340.517
2050,37589.191,435.933,373.295,62.637,87.628,150.265,38340.517
2051,37589.191,435.933,373.295,62.637,87.628,150.265,38340.517
2052,38340.517,438.064,381.971,56.094,87.628,143.722,39059.125
2053,38340.517,438.064,381.971,56.094,87.628,143.722,39059.125
2054,38340.517,438.064,381.971,56.094,87.628,143.722,39059.125
2055,38340.517,438.064,381.971,56.094,87.628,143.722,39059.125
2056,38340.517,438.064,381.971,56.094,87.628,143.722,39059.125
2057,39059.125,439.108,387.011,52.097,87.628,139.725,39338.575
2058,39059.125,439.108,387.011,52.097,87.628,139.725,39338.575
2059,39338.575,440.257,389.66,50.597,87.628,138.225,39753.251
2060,39338.575,440.257,389.66,50.597,87.628,138.225,39753.251
2061,39338.575,440.257,389.66,50.597,87.628,138.225,39753.251
2062,39753.251,443.536,392.092,51.443,87.628,139.071,40448.608
2063,39753.251,443.536,392.092,51.443,87.628,139.071,40448.608
2064,39753.251,443.536,392.092,51.443,87.628,139.071,40448.608
2065,39753.251,443.536,392.092,51.443,87.628,139.071,40448.608
2066,39753.251,443.536,392.092,51.443,87.628,139.071,40448.608
2067,40448.608,449.861,393.911,55.95,87.628,143.578,41166.499
2068,40448.608,449.861,393.911,55.95,87.628,143.578,41166.499
2069,40448.608,449.861,393.911,55.95,87.628,143.578,41166.499
2070,40448.608,449.861,393.911,55.95,87.628,143.578,41166.499
2071,40448.608,449.861,393.911,55.95,87.628,143.578,41166.499
2072,41166.499,456.787,398.163,58.624,87.628,146.252,41897.757
2073,41166.499,456.787,398.163,58.624,87.628,146.252,41897.757
2074,41166.499,456.787,398.163,58.624,87.628,146.252,41897.757
2075,41166.499,456.787,398.163,58.624,87.628,146.252,41897.757
2076,41166.499,456.787,398.163,58.624,87.628,146.252,41897.757
2077,41897.757,462.061,406.471,55.59,87.628,143.218,42613.847
2078,41897.757,462.061,406.471,55.59,87.628,143.218,42613.847
2079,41897.757,462.061,406.471,55.59,87.628,143.218,42613.847
2080,41897.757,462.061,406.471,55.59,87.628,143.218,42613.847
2081,41897.757,462.061,406.471,55.59,87.628,143.218,42613.847
2082,42613.847,464.636,412.869,51.768,87.628,139.396,42892.638
2083,42613.847,464.636,412.869,51.768,87.628,139.396,42892.638
